# cycle	 average reward
402	 0.985075
403	 0.985112
404	 0.985149
405	 0.985185
406	 0.985222
407	 0.985258
408	 0.985294
409	 0.98533
410	 0.985366
411	 0.985401
412	 0.985437
413	 0.985472
414	 0.985507
415	 0.985542
416	 0.985577
417	 0.985612
418	 0.985646
419	 0.98568
420	 0.985714
421	 0.985748
422	 0.985782
423	 0.985816
424	 0.985849
425	 0.985882
426	 0.985915
427	 0.985948
428	 0.985981
429	 0.986014
430	 0.986047
431	 0.986079
432	 0.986111
433	 0.986143
434	 0.986175
435	 0.986207
436	 0.986239
437	 0.98627
438	 0.986301
439	 0.986333
440	 0.986364
441	 0.986395
442	 0.986425
443	 0.986456
444	 0.986486
445	 0.986517
446	 0.986547
447	 0.986577
448	 0.986607
449	 0.986637
450	 0.986667
451	 0.986696
452	 0.986726
453	 0.986755
454	 0.986784
455	 0.986813
456	 0.986842
457	 0.986871
458	 0.9869
459	 0.986928
460	 0.986957
461	 0.986985
462	 0.987013
463	 0.987041
464	 0.987069
465	 0.987097
466	 0.987124
467	 0.987152
468	 0.987179
469	 0.987207
470	 0.987234
471	 0.987261
472	 0.987288
473	 0.987315
474	 0.987342
475	 0.987368
476	 0.987395
477	 0.987421
478	 0.987448
479	 0.987474
480	 0.9875
481	 0.987526
482	 0.987552
483	 0.987578
484	 0.987603
485	 0.987629
486	 0.987654
487	 0.98768
488	 0.987705
489	 0.98773
490	 0.987755
491	 0.98778
492	 0.987805
493	 0.98783
494	 0.987854
495	 0.987879
496	 0.987903
497	 0.987928
498	 0.987952
499	 0.987976
500	 0.988
501	 0.988024
502	 0.988048
503	 0.988072
504	 0.988095
505	 0.988119
506	 0.988142
507	 0.988166
508	 0.988189
509	 0.988212
510	 0.988235
511	 0.988258
512	 0.988281
513	 0.988304
514	 0.988327
515	 0.98835
516	 0.988372
517	 0.988395
518	 0.988417
519	 0.988439
520	 0.988462
521	 0.988484
522	 0.988506
523	 0.988528
524	 0.98855
525	 0.988571
