# cycle	 average reward
100	 0.64
200	 0.645
300	 0.616667
400	 0.6075
500	 0.596
600	 0.591667
700	 0.594286
800	 0.59375
900	 0.602222
1000	 0.6
1100	 0.602727
1200	 0.605
1300	 0.606154
1400	 0.605
1500	 0.604667
1600	 0.60375
1700	 0.604706
1800	 0.605556
1900	 0.604737
2000	 0.605
2100	 0.604762
2200	 0.604545
2300	 0.603478
2400	 0.601667
2500	 0.602
2600	 0.600385
2700	 0.595556
2800	 0.595
2900	 0.593793
3000	 0.594
3100	 0.591935
3200	 0.590313
3300	 0.588485
3400	 0.586765
3500	 0.587143
3600	 0.584722
3700	 0.585405
3800	 0.586842
3900	 0.584615
4000	 0.58625
