cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 1, 0, 0.1, 0, 0
2, 1, 1, 0, 0, 0.08, 1, 0.5
3, 1, 0, 1, 0, 0.064, 1, 0.333333
4, 1, 1, 1, 0, 0.0512, 2, 0.5
5, 1, 1, 1, 0, 0.04096, 3, 0.6
6, 1, 1, 1, 0, 0.032768, 4, 0.666667
7, 1, 1, 1, 0, 0.0262144, 5, 0.714286
8, 1, 1, 1, 0, 0.0209715, 6, 0.75
9, 1, 1, 0, 0, 0.0167772, 7, 0.777778
10, 1, 0, 1, 0, 0.0134218, 7, 0.7
11, 1, 1, 1, 0, 0.0107374, 8, 0.727273
12, 1, 1, 1, 0, 0.00858993, 9, 0.75
13, 1, 1, 1, 0, 0.00687195, 10, 0.769231
14, 1, 1, 1, 0, 0.00549756, 11, 0.785714
15, 1, 1, 1, 0, 0.00439805, 12, 0.8
16, 1, 1, 0, 0, 0.00351844, 13, 0.8125
17, 1, 0, 1, 0, 0.00281475, 13, 0.764706
18, 1, 1, 1, 0, 0.0022518, 14, 0.777778
19, 1, 1, 1, 0, 0.00180144, 15, 0.789474
20, 1, 1, 1, 0, 0.00144115, 16, 0.8
21, 1, 1, 1, 0, 0.00115292, 17, 0.809524
22, 1, 1, 1, 0, 0.000922337, 18, 0.818182
23, 1, 1, 1, 0, 0.00073787, 19, 0.826087
24, 1, 1, 1, 0, 0.000590296, 20, 0.833333
25, 1, 1, 1, 0, 0.000472237, 21, 0.84
26, 1, 1, 1, 0, 0.000377789, 22, 0.846154
27, 1, 1, 1, 0, 0.000302231, 23, 0.851852
28, 1, 1, 1, 0, 0.000241785, 24, 0.857143
29, 1, 1, 1, 0, 0.000193428, 25, 0.862069
30, 1, 1, 1, 0, 0.000154743, 26, 0.866667
31, 1, 1, 1, 0, 0.000123794, 27, 0.870968
32, 1, 1, 1, 0, 9.90352e-05, 28, 0.875
33, 1, 1, 1, 0, 7.92282e-05, 29, 0.878788
34, 1, 1, 1, 0, 6.33825e-05, 30, 0.882353
35, 1, 1, 1, 0, 5.0706e-05, 31, 0.885714
36, 1, 1, 1, 0, 4.05648e-05, 32, 0.888889
37, 1, 1, 1, 0, 3.24519e-05, 33, 0.891892
38, 1, 1, 1, 0, 2.59615e-05, 34, 0.894737
39, 1, 1, 1, 0, 2.07692e-05, 35, 0.897436
40, 1, 1, 1, 0, 1.66153e-05, 36, 0.9
41, 1, 1, 1, 0, 1.32923e-05, 37, 0.902439
42, 1, 1, 1, 0, 1.06338e-05, 38, 0.904762
43, 1, 1, 1, 0, 8.50706e-06, 39, 0.906977
44, 1, 1, 1, 0, 6.80565e-06, 40, 0.909091
45, 1, 1, 1, 0, 5.44452e-06, 41, 0.911111
46, 1, 1, 1, 0, 4.35561e-06, 42, 0.913043
47, 1, 1, 1, 0, 3.48449e-06, 43, 0.914894
48, 1, 1, 1, 0, 2.78759e-06, 44, 0.916667
49, 1, 1, 1, 0, 2.23007e-06, 45, 0.918367
50, 1, 1, 1, 0, 1.78406e-06, 46, 0.92
51, 1, 1, 1, 0, 1.42725e-06, 47, 0.921569
52, 1, 1, 1, 0, 1.1418e-06, 48, 0.923077
53, 1, 1, 1, 0, 9.13439e-07, 49, 0.924528
54, 1, 1, 1, 0, 7.30751e-07, 50, 0.925926
55, 1, 1, 1, 0, 5.84601e-07, 51, 0.927273
56, 1, 1, 1, 0, 4.67681e-07, 52, 0.928571
57, 1, 1, 0, 0, 3.74144e-07, 53, 0.929825
58, 1, 0, 0, 0, 2.99316e-07, 53, 0.913793
59, 1, 0, 1, 0, 2.39452e-07, 53, 0.898305
60, 1, 1, 1, 0, 1.91562e-07, 54, 0.9
61, 1, 1, 1, 0, 1.5325e-07, 55, 0.901639
62, 1, 1, 1, 0, 1.226e-07, 56, 0.903226
63, 1, 1, 1, 0, 9.80797e-08, 57, 0.904762
64, 1, 1, 1, 0, 7.84638e-08, 58, 0.90625
65, 1, 1, 1, 0, 6.2771e-08, 59, 0.907692
66, 1, 1, 1, 0, 5.02168e-08, 60, 0.909091
67, 1, 1, 1, 0, 4.01735e-08, 61, 0.910448
68, 1, 1, 1, 0, 3.21388e-08, 62, 0.911765
69, 1, 1, 1, 0, 2.5711e-08, 63, 0.913043
70, 1, 1, 1, 0, 2.05688e-08, 64, 0.914286
71, 1, 1, 1, 0, 1.6455e-08, 65, 0.915493
72, 1, 1, 1, 0, 1.3164e-08, 66, 0.916667
73, 1, 1, 1, 0, 1.05312e-08, 67, 0.917808
74, 1, 1, 1, 0, 8.42498e-09, 68, 0.918919
