# cycle	 average reward
100	 0.86
200	 0.745
300	 0.733333
400	 0.7575
500	 0.76
600	 0.761667
700	 0.757143
800	 0.75
900	 0.754444
1000	 0.758
1100	 0.758182
1200	 0.7575
1300	 0.751538
1400	 0.747857
1500	 0.747333
1600	 0.74625
1700	 0.75
1800	 0.75
1900	 0.750526
2000	 0.749
2100	 0.751905
2200	 0.755455
2300	 0.757826
2400	 0.75625
2500	 0.756
2600	 0.754231
2700	 0.751111
2800	 0.746071
2900	 0.745862
3000	 0.746667
3100	 0.747742
3200	 0.748437
3300	 0.747273
3400	 0.748235
3500	 0.747714
3600	 0.7475
3700	 0.747838
3800	 0.748947
3900	 0.747692
4000	 0.747
4100	 0.746829
4200	 0.745238
4300	 0.745581
4400	 0.743409
4500	 0.741556
4600	 0.741304
4700	 0.740426
4800	 0.74
4900	 0.74
5000	 0.7398
5100	 0.738627
5200	 0.738462
5300	 0.737547
5400	 0.737778
5500	 0.737455
5600	 0.735893
5700	 0.73614
5800	 0.735517
5900	 0.734576
6000	 0.733333
6100	 0.732295
6200	 0.733226
6300	 0.733016
6400	 0.731406
6500	 0.730462
6600	 0.731061
6700	 0.730896
6800	 0.730441
6900	 0.729855
7000	 0.729
7100	 0.730704
7200	 0.73
7300	 0.729315
7400	 0.728649
7500	 0.727733
7600	 0.727368
7700	 0.727013
