cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0.1, 0, 0
2, 1, 0, 0, 0, 0.08, 0, 0
3, 0, 1, 0, 0, 0.064, 1, 0.333333
4, 1, 0, 0, 0, 0.0512, 1, 0.25
5, 1, 0, 1, 0, 0.04096, 1, 0.2
6, 1, 1, 0, 0, 0.032768, 2, 0.333333
7, 1, 0, 1, 0, 0.0262144, 2, 0.285714
8, 1, 1, 1, 0, 0.0209715, 3, 0.375
9, 0, 0, 1, 0, 0.0167772, 3, 0.333333
10, 1, 1, 0, 0, 0.0134218, 4, 0.4
11, 0, 1, 0, 0, 0.0107374, 5, 0.454545
12, 1, 0, 1, 0, 0.00858993, 5, 0.416667
13, 0, 0, 1, 0, 0.00687195, 5, 0.384615
14, 1, 1, 0, 0, 0.00549756, 6, 0.428571
15, 1, 0, 1, 0, 0.00439805, 6, 0.4
16, 0, 0, 0, 1, 0.00351844, 6, 0.375
17, 1, 0, 0, 0, 0.00281475, 6, 0.352941
18, 0, 1, 0, 0, 0.0022518, 7, 0.388889
19, 1, 0, 1, 0, 0.00180144, 7, 0.368421
20, 0, 0, 1, 0, 0.00144115, 7, 0.35
21, 1, 1, 0, 0, 0.00115292, 8, 0.380952
22, 1, 0, 1, 0, 0.000922337, 8, 0.363636
23, 0, 0, 1, 0, 0.00073787, 8, 0.347826
24, 0, 0, 1, 0, 0.000590296, 8, 0.333333
25, 0, 0, 1, 0, 0.000472237, 8, 0.32
26, 1, 1, 1, 0, 0.000377789, 9, 0.346154
27, 0, 0, 1, 0, 0.000302231, 9, 0.333333
28, 0, 0, 1, 0, 0.000241785, 9, 0.321429
29, 0, 0, 1, 0, 0.000193428, 9, 0.310345
30, 0, 0, 0, 0, 0.000154743, 9, 0.3
31, 0, 1, 1, 0, 0.000123794, 10, 0.322581
32, 1, 1, 1, 0, 9.90352e-05, 11, 0.34375
33, 0, 0, 1, 0, 7.92282e-05, 11, 0.333333
34, 1, 1, 0, 0, 6.33825e-05, 12, 0.352941
35, 1, 0, 0, 0, 5.0706e-05, 12, 0.342857
36, 1, 0, 1, 0, 4.05648e-05, 12, 0.333333
37, 1, 1, 0, 0, 3.24519e-05, 13, 0.351351
38, 0, 1, 1, 0, 2.59615e-05, 14, 0.368421
39, 0, 0, 1, 0, 2.07692e-05, 14, 0.358974
40, 1, 1, 1, 0, 1.66153e-05, 15, 0.375
41, 1, 1, 1, 0, 1.32923e-05, 16, 0.390244
42, 0, 0, 1, 0, 1.06338e-05, 16, 0.380952
43, 1, 1, 1, 0, 8.50706e-06, 17, 0.395349
44, 0, 0, 1, 0, 6.80565e-06, 17, 0.386364
45, 0, 0, 1, 0, 5.44452e-06, 17, 0.377778
46, 1, 1, 0, 0, 4.35561e-06, 18, 0.391304
47, 1, 0, 1, 0, 3.48449e-06, 18, 0.382979
48, 0, 0, 0, 0, 2.78759e-06, 18, 0.375
49, 1, 0, 0, 0, 2.23007e-06, 18, 0.367347
50, 1, 0, 1, 0, 1.78406e-06, 18, 0.36
51, 1, 1, 0, 0, 1.42725e-06, 19, 0.372549
52, 1, 0, 1, 0, 1.1418e-06, 19, 0.365385
53, 0, 0, 0, 0, 9.13439e-07, 19, 0.358491
54, 1, 0, 0, 0, 7.30751e-07, 19, 0.351852
55, 0, 1, 1, 0, 5.84601e-07, 20, 0.363636
56, 1, 1, 0, 0, 4.67681e-07, 21, 0.375
57, 0, 1, 1, 0, 3.74144e-07, 22, 0.385965
58, 1, 1, 0, 0, 2.99316e-07, 23, 0.396552
59, 0, 1, 1, 0, 2.39452e-07, 24, 0.40678
60, 1, 1, 1, 0, 1.91562e-07, 25, 0.416667
61, 0, 0, 1, 0, 1.5325e-07, 25, 0.409836
62, 0, 0, 1, 0, 1.226e-07, 25, 0.403226
63, 1, 1, 1, 0, 9.80797e-08, 26, 0.412698
64, 1, 1, 0, 0, 7.84638e-08, 27, 0.421875
65, 1, 0, 1, 0, 6.2771e-08, 27, 0.415385
66, 0, 0, 1, 0, 5.02168e-08, 27, 0.409091
67, 0, 0, 0, 0, 4.01735e-08, 27, 0.402985
68, 1, 0, 0, 0, 3.21388e-08, 27, 0.397059
69, 0, 1, 1, 0, 2.5711e-08, 28, 0.405797
70, 1, 1, 1, 0, 2.05688e-08, 29, 0.414286
71, 1, 1, 1, 0, 1.6455e-08, 30, 0.422535
72, 0, 0, 0, 0, 1.3164e-08, 30, 0.416667
73, 0, 1, 0, 0, 1.05312e-08, 31, 0.424658
74, 1, 0, 0, 0, 8.42498e-09, 31, 0.418919
75, 1, 0, 1, 0, 6.73999e-09, 31, 0.413333
76, 0, 0, 1, 0, 5.39199e-09, 31, 0.407895
77, 1, 1, 0, 0, 4.31359e-09, 32, 0.415584
78, 1, 0, 1, 0, 3.45087e-09, 32, 0.410256
79, 0, 0, 1, 0, 2.7607e-09, 32, 0.405063
80, 0, 0, 0, 0, 2.20856e-09, 32, 0.4
81, 0, 1, 0, 0, 1.76685e-09, 33, 0.407407
82, 1, 0, 1, 0, 1.41348e-09, 33, 0.402439
83, 0, 0, 1, 0, 1.13078e-09, 33, 0.39759
84, 0, 0, 1, 0, 9.04626e-10, 33, 0.392857
85, 0, 0, 0, 0, 7.23701e-10, 33, 0.388235
86, 0, 1, 0, 0, 5.7896e-10, 34, 0.395349
87, 0, 1, 1, 0, 4.63168e-10, 35, 0.402299
88, 0, 0, 1, 0, 3.70535e-10, 35, 0.397727
89, 1, 1, 1, 0, 2.96428e-10, 36, 0.404494
90, 1, 1, 0, 0, 2.37142e-10, 37, 0.411111
91, 1, 0, 1, 0, 1.89714e-10, 37, 0.406593
92, 0, 0, 1, 0, 1.51771e-10, 37, 0.402174
93, 1, 1, 1, 0, 1.21417e-10, 38, 0.408602
94, 0, 0, 1, 0, 9.71334e-11, 38, 0.404255
95, 0, 0, 1, 0, 7.77068e-11, 38, 0.4
96, 1, 1, 1, 0, 6.21654e-11, 39, 0.40625
97, 0, 0, 1, 0, 4.97323e-11, 39, 0.402062
98, 0, 0, 1, 0, 3.97859e-11, 39, 0.397959
99, 1, 1, 1, 0, 3.18287e-11, 40, 0.40404
100, 1, 1, 1, 0, 2.54629e-11, 41, 0.41
101, 0, 0, 1, 0, 2.03704e-11, 41, 0.405941
