cycle, observation, reward, action, explored, explore_rate, total reward, average reward
4789, 1, 1, 1, 0, 9.88131e-324, 3096, 0.646482
4790, 0, 0, 0, 0, 9.88131e-324, 3096, 0.646347
4791, 0, 1, 0, 0, 9.88131e-324, 3097, 0.64642
4792, 1, 0, 0, 0, 9.88131e-324, 3097, 0.646285
4793, 0, 1, 0, 0, 9.88131e-324, 3098, 0.646359
4794, 0, 1, 0, 0, 9.88131e-324, 3099, 0.646433
4795, 0, 1, 0, 0, 9.88131e-324, 3100, 0.646507
4796, 0, 1, 0, 0, 9.88131e-324, 3101, 0.64658
4797, 0, 1, 0, 0, 9.88131e-324, 3102, 0.646654
4798, 0, 1, 0, 0, 9.88131e-324, 3103, 0.646728
4799, 0, 1, 0, 0, 9.88131e-324, 3104, 0.646801
4800, 0, 1, 1, 0, 9.88131e-324, 3105, 0.646875
4801, 0, 0, 1, 0, 9.88131e-324, 3105, 0.64674
4802, 1, 1, 1, 0, 9.88131e-324, 3106, 0.646814
4803, 0, 0, 0, 0, 9.88131e-324, 3106, 0.646679
4804, 0, 1, 1, 0, 9.88131e-324, 3107, 0.646753
4805, 0, 0, 0, 0, 9.88131e-324, 3107, 0.646618
4806, 0, 1, 0, 0, 9.88131e-324, 3108, 0.646692
4807, 0, 1, 1, 0, 9.88131e-324, 3109, 0.646765
4808, 1, 1, 0, 0, 9.88131e-324, 3110, 0.646839
4809, 0, 1, 0, 0, 9.88131e-324, 3111, 0.646912
4810, 0, 1, 0, 0, 9.88131e-324, 3112, 0.646985
4811, 0, 1, 1, 0, 9.88131e-324, 3113, 0.647059
4812, 1, 1, 0, 0, 9.88131e-324, 3114, 0.647132
4813, 0, 1, 0, 0, 9.88131e-324, 3115, 0.647205
4814, 0, 1, 0, 0, 9.88131e-324, 3116, 0.647279
4815, 0, 1, 0, 0, 9.88131e-324, 3117, 0.647352
4816, 0, 1, 0, 0, 9.88131e-324, 3118, 0.647425
4817, 0, 1, 0, 0, 9.88131e-324, 3119, 0.647498
4818, 1, 0, 1, 0, 9.88131e-324, 3119, 0.647364
4819, 0, 0, 0, 0, 9.88131e-324, 3119, 0.64723
4820, 0, 1, 0, 0, 9.88131e-324, 3120, 0.647303
4821, 0, 1, 1, 0, 9.88131e-324, 3121, 0.647376
4822, 0, 0, 0, 0, 9.88131e-324, 3121, 0.647242
4823, 0, 1, 0, 0, 9.88131e-324, 3122, 0.647315
4824, 0, 1, 0, 0, 9.88131e-324, 3123, 0.647388
4825, 0, 1, 1, 0, 9.88131e-324, 3124, 0.647461
4826, 0, 0, 0, 0, 9.88131e-324, 3124, 0.647327
4827, 0, 1, 1, 0, 9.88131e-324, 3125, 0.6474
4828, 0, 0, 0, 0, 9.88131e-324, 3125, 0.647266
4829, 0, 1, 0, 0, 9.88131e-324, 3126, 0.647339
4830, 0, 1, 0, 0, 9.88131e-324, 3127, 0.647412
4831, 0, 1, 0, 0, 9.88131e-324, 3128, 0.647485
4832, 0, 1, 0, 0, 9.88131e-324, 3129, 0.647558
4833, 0, 1, 0, 0, 9.88131e-324, 3130, 0.647631
4834, 0, 1, 0, 0, 9.88131e-324, 3131, 0.647704
4835, 0, 1, 0, 0, 9.88131e-324, 3132, 0.647777
4836, 0, 1, 0, 0, 9.88131e-324, 3133, 0.647849
