cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0.1, 0, 0
2, 1, 0, 0, 0, 0.08, 0, 0
3, 0, 1, 0, 0, 0.064, 1, 0.333333
4, 1, 0, 0, 0, 0.0512, 1, 0.25
5, 1, 0, 1, 0, 0.04096, 1, 0.2
6, 1, 1, 0, 0, 0.032768, 2, 0.333333
7, 1, 0, 1, 0, 0.0262144, 2, 0.285714
8, 1, 1, 1, 0, 0.0209715, 3, 0.375
9, 0, 0, 1, 0, 0.0167772, 3, 0.333333
10, 1, 1, 0, 0, 0.0134218, 4, 0.4
11, 0, 1, 0, 0, 0.0107374, 5, 0.454545
12, 0, 1, 0, 0, 0.00858993, 6, 0.5
13, 0, 1, 0, 0, 0.00687195, 7, 0.538462
14, 0, 1, 1, 0, 0.00549756, 8, 0.571429
15, 0, 0, 0, 0, 0.00439805, 8, 0.533333
16, 0, 1, 1, 0, 0.00351844, 9, 0.5625
17, 0, 0, 0, 0, 0.00281475, 9, 0.529412
18, 1, 0, 0, 0, 0.0022518, 9, 0.5
19, 0, 1, 0, 0, 0.00180144, 10, 0.526316
20, 1, 0, 0, 0, 0.00144115, 10, 0.5
21, 0, 1, 0, 0, 0.00115292, 11, 0.52381
22, 0, 1, 0, 0, 0.000922337, 12, 0.545455
23, 1, 0, 0, 0, 0.00073787, 12, 0.521739
24, 0, 1, 0, 0, 0.000590296, 13, 0.541667
25, 1, 0, 1, 0, 0.000472237, 13, 0.52
26, 0, 0, 0, 0, 0.000377789, 13, 0.5
27, 1, 0, 0, 0, 0.000302231, 13, 0.481481
28, 1, 0, 0, 0, 0.000241785, 13, 0.464286
29, 1, 0, 1, 0, 0.000193428, 13, 0.448276
30, 0, 0, 1, 0, 0.000154743, 13, 0.433333
31, 0, 0, 0, 0, 0.000123794, 13, 0.419355
32, 0, 1, 1, 0, 9.90352e-05, 14, 0.4375
33, 0, 0, 1, 0, 7.92282e-05, 14, 0.424242
34, 0, 0, 1, 0, 6.33825e-05, 14, 0.411765
35, 1, 1, 1, 0, 5.0706e-05, 15, 0.428571
36, 0, 0, 1, 0, 4.05648e-05, 15, 0.416667
37, 1, 1, 0, 0, 3.24519e-05, 16, 0.432432
38, 1, 0, 0, 0, 2.59615e-05, 16, 0.421053
39, 1, 0, 1, 0, 2.07692e-05, 16, 0.410256
40, 0, 0, 0, 0, 1.66153e-05, 16, 0.4
41, 1, 0, 1, 0, 1.32923e-05, 16, 0.390244
42, 0, 0, 1, 0, 1.06338e-05, 16, 0.380952
43, 0, 0, 1, 0, 8.50706e-06, 16, 0.372093
44, 1, 1, 0, 0, 6.80565e-06, 17, 0.386364
45, 1, 0, 1, 0, 5.44452e-06, 17, 0.377778
46, 0, 0, 0, 0, 4.35561e-06, 17, 0.369565
47, 1, 0, 1, 0, 3.48449e-06, 17, 0.361702
48, 0, 0, 1, 0, 2.78759e-06, 17, 0.354167
49, 0, 0, 1, 0, 2.23007e-06, 17, 0.346939
50, 1, 1, 0, 0, 1.78406e-06, 18, 0.36
51, 0, 1, 0, 0, 1.42725e-06, 19, 0.372549
52, 0, 1, 0, 0, 1.1418e-06, 20, 0.384615
53, 0, 1, 0, 0, 9.13439e-07, 21, 0.396226
54, 0, 1, 1, 0, 7.30751e-07, 22, 0.407407
55, 0, 0, 0, 0, 5.84601e-07, 22, 0.4
56, 1, 0, 0, 0, 4.67681e-07, 22, 0.392857
57, 0, 1, 0, 0, 3.74144e-07, 23, 0.403509
58, 0, 1, 0, 0, 2.99316e-07, 24, 0.413793
59, 0, 1, 0, 0, 2.39452e-07, 25, 0.423729
60, 0, 1, 0, 0, 1.91562e-07, 26, 0.433333
61, 0, 1, 0, 0, 1.5325e-07, 27, 0.442623
62, 0, 1, 1, 0, 1.226e-07, 28, 0.451613
63, 0, 0, 0, 0, 9.80797e-08, 28, 0.444444
64, 0, 1, 1, 0, 7.84638e-08, 29, 0.453125
65, 0, 0, 1, 0, 6.2771e-08, 29, 0.446154
66, 1, 1, 0, 0, 5.02168e-08, 30, 0.454545
67, 0, 1, 0, 0, 4.01735e-08, 31, 0.462687
68, 1, 0, 0, 0, 3.21388e-08, 31, 0.455882
69, 0, 1, 0, 0, 2.5711e-08, 32, 0.463768
70, 1, 0, 0, 0, 2.05688e-08, 32, 0.457143
71, 0, 1, 0, 0, 1.6455e-08, 33, 0.464789
72, 0, 1, 0, 0, 1.3164e-08, 34, 0.472222
73, 1, 0, 0, 0, 1.05312e-08, 34, 0.465753
74, 1, 0, 0, 0, 8.42498e-09, 34, 0.459459
75, 0, 1, 0, 0, 6.73999e-09, 35, 0.466667
76, 0, 1, 0, 0, 5.39199e-09, 36, 0.473684
77, 1, 0, 0, 0, 4.31359e-09, 36, 0.467532
78, 0, 1, 1, 0, 3.45087e-09, 37, 0.474359
79, 1, 1, 0, 0, 2.7607e-09, 38, 0.481013
80, 0, 1, 0, 0, 2.20856e-09, 39, 0.4875
81, 1, 0, 0, 0, 1.76685e-09, 39, 0.481481
82, 0, 1, 1, 0, 1.41348e-09, 40, 0.487805
83, 1, 1, 1, 0, 1.13078e-09, 41, 0.493976
84, 0, 0, 1, 0, 9.04626e-10, 41, 0.488095
85, 1, 1, 0, 0, 7.23701e-10, 42, 0.494118
86, 0, 1, 0, 0, 5.7896e-10, 43, 0.5
87, 0, 1, 0, 0, 4.63168e-10, 44, 0.505747
88, 1, 0, 0, 0, 3.70535e-10, 44, 0.5
89, 0, 1, 0, 0, 2.96428e-10, 45, 0.505618
90, 1, 0, 1, 0, 2.37142e-10, 45, 0.5
91, 0, 0, 1, 0, 1.89714e-10, 45, 0.494505
92, 1, 1, 0, 0, 1.51771e-10, 46, 0.5
93, 1, 0, 0, 0, 1.21417e-10, 46, 0.494624
94, 0, 1, 1, 0, 9.71334e-11, 47, 0.5
95, 0, 0, 1, 0, 7.77068e-11, 47, 0.494737
96, 0, 0, 1, 0, 6.21654e-11, 47, 0.489583
97, 1, 1, 0, 0, 4.97323e-11, 48, 0.494845
98, 0, 1, 0, 0, 3.97859e-11, 49, 0.5
99, 1, 0, 0, 0, 3.18287e-11, 49, 0.494949
100, 0, 1, 1, 0, 2.54629e-11, 50, 0.5
101, 1, 1, 0, 0, 2.03704e-11, 51, 0.50495
