# cycle	 average reward
100	 0.95
200	 0.97
300	 0.98
400	 0.985
500	 0.988
600	 0.988333
700	 0.99
800	 0.99125
900	 0.991111
1000	 0.992
1100	 0.992727
1200	 0.993333
1300	 0.993846
1400	 0.994286
1500	 0.994
1600	 0.99375
1700	 0.993529
1800	 0.993889
1900	 0.994211
2000	 0.9945
2100	 0.994286
2200	 0.994091
2300	 0.994348
2400	 0.994167
2500	 0.9944
2600	 0.994615
2700	 0.994815
2800	 0.995
2900	 0.994828
3000	 0.995
3100	 0.994839
3200	 0.995
3300	 0.995152
3400	 0.995
3500	 0.995143
3600	 0.995278
3700	 0.995135
3800	 0.995263
3900	 0.995128
4000	 0.99525
