cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0.1, 0, 0
2, 1, 0, 0, 0, 0.08, 0, 0
3, 0, 1, 0, 0, 0.064, 1, 0.333333
4, 0, 1, 1, 0, 0.0512, 2, 0.5
5, 1, 1, 0, 0, 0.04096, 3, 0.6
6, 0, 1, 0, 0, 0.032768, 4, 0.666667
7, 0, 1, 0, 0, 0.0262144, 5, 0.714286
8, 0, 1, 1, 0, 0.0209715, 6, 0.75
9, 1, 1, 1, 0, 0.0167772, 7, 0.777778
10, 0, 0, 0, 0, 0.0134218, 7, 0.7
11, 0, 1, 1, 0, 0.0107374, 8, 0.727273
12, 0, 0, 0, 0, 0.00858993, 8, 0.666667
13, 1, 0, 0, 0, 0.00687195, 8, 0.615385
14, 0, 1, 1, 0, 0.00549756, 9, 0.642857
15, 1, 1, 0, 0, 0.00439805, 10, 0.666667
16, 1, 0, 0, 0, 0.00351844, 10, 0.625
17, 0, 1, 0, 0, 0.00281475, 11, 0.647059
18, 0, 1, 0, 0, 0.0022518, 12, 0.666667
19, 0, 1, 0, 0, 0.00180144, 13, 0.684211
20, 0, 1, 0, 0, 0.00144115, 14, 0.7
21, 1, 0, 0, 0, 0.00115292, 14, 0.666667
22, 0, 1, 0, 0, 0.000922337, 15, 0.681818
23, 1, 0, 1, 0, 0.00073787, 15, 0.652174
24, 0, 0, 1, 0, 0.000590296, 15, 0.625
25, 0, 0, 1, 0, 0.000472237, 15, 0.6
26, 1, 1, 1, 0, 0.000377789, 16, 0.615385
27, 0, 0, 1, 0, 0.000302231, 16, 0.592593
28, 1, 1, 0, 0, 0.000241785, 17, 0.607143
29, 0, 1, 0, 0, 0.000193428, 18, 0.62069
30, 1, 0, 1, 0, 0.000154743, 18, 0.6
31, 0, 0, 1, 0, 0.000123794, 18, 0.580645
32, 0, 0, 1, 0, 9.90352e-05, 18, 0.5625
33, 0, 0, 1, 0, 7.92282e-05, 18, 0.545455
34, 0, 0, 0, 0, 6.33825e-05, 18, 0.529412
35, 0, 1, 0, 0, 5.0706e-05, 19, 0.542857
36, 0, 1, 1, 0, 4.05648e-05, 20, 0.555556
37, 1, 1, 1, 0, 3.24519e-05, 21, 0.567568
38, 1, 1, 1, 0, 2.59615e-05, 22, 0.578947
39, 0, 0, 0, 0, 2.07692e-05, 22, 0.564103
40, 1, 0, 0, 0, 1.66153e-05, 22, 0.55
41, 0, 1, 1, 0, 1.32923e-05, 23, 0.560976
42, 0, 0, 0, 0, 1.06338e-05, 23, 0.547619
43, 0, 1, 0, 0, 8.50706e-06, 24, 0.55814
44, 0, 1, 0, 0, 6.80565e-06, 25, 0.568182
45, 1, 0, 0, 0, 5.44452e-06, 25, 0.555556
46, 1, 0, 1, 0, 4.35561e-06, 25, 0.543478
47, 0, 0, 0, 0, 3.48449e-06, 25, 0.531915
48, 1, 0, 1, 0, 2.78759e-06, 25, 0.520833
49, 0, 0, 0, 0, 2.23007e-06, 25, 0.510204
50, 1, 0, 1, 0, 1.78406e-06, 25, 0.5
51, 0, 0, 1, 0, 1.42725e-06, 25, 0.490196
52, 0, 0, 1, 0, 1.1418e-06, 25, 0.480769
53, 0, 0, 1, 0, 9.13439e-07, 25, 0.471698
54, 0, 0, 0, 0, 7.30751e-07, 25, 0.462963
55, 1, 0, 0, 0, 5.84601e-07, 25, 0.454545
56, 0, 1, 1, 0, 4.67681e-07, 26, 0.464286
57, 0, 0, 1, 0, 3.74144e-07, 26, 0.45614
58, 0, 0, 0, 0, 2.99316e-07, 26, 0.448276
59, 0, 1, 1, 0, 2.39452e-07, 27, 0.457627
60, 0, 0, 1, 0, 1.91562e-07, 27, 0.45
61, 0, 0, 0, 0, 1.5325e-07, 27, 0.442623
62, 1, 0, 0, 0, 1.226e-07, 27, 0.435484
63, 0, 1, 0, 0, 9.80797e-08, 28, 0.444444
64, 1, 0, 0, 0, 7.84638e-08, 28, 0.4375
65, 0, 1, 0, 0, 6.2771e-08, 29, 0.446154
66, 0, 1, 0, 0, 5.02168e-08, 30, 0.454545
67, 0, 1, 1, 0, 4.01735e-08, 31, 0.462687
68, 0, 0, 0, 0, 3.21388e-08, 31, 0.455882
69, 1, 0, 0, 0, 2.5711e-08, 31, 0.449275
70, 0, 1, 0, 0, 2.05688e-08, 32, 0.457143
71, 1, 0, 0, 0, 1.6455e-08, 32, 0.450704
72, 0, 1, 1, 0, 1.3164e-08, 33, 0.458333
73, 0, 0, 1, 0, 1.05312e-08, 33, 0.452055
74, 0, 0, 0, 0, 8.42498e-09, 33, 0.445946
75, 0, 1, 0, 0, 6.73999e-09, 34, 0.453333
76, 0, 1, 1, 0, 5.39199e-09, 35, 0.460526
77, 1, 1, 1, 0, 4.31359e-09, 36, 0.467532
78, 0, 0, 0, 0, 3.45087e-09, 36, 0.461538
79, 0, 1, 1, 0, 2.7607e-09, 37, 0.468354
80, 1, 1, 0, 0, 2.20856e-09, 38, 0.475
81, 0, 1, 1, 0, 1.76685e-09, 39, 0.481481
82, 0, 0, 1, 0, 1.41348e-09, 39, 0.47561
83, 0, 0, 1, 0, 1.13078e-09, 39, 0.46988
84, 1, 1, 0, 0, 9.04626e-10, 40, 0.47619
85, 0, 1, 0, 0, 7.23701e-10, 41, 0.482353
86, 0, 1, 1, 0, 5.7896e-10, 42, 0.488372
87, 1, 1, 0, 0, 4.63168e-10, 43, 0.494253
88, 0, 1, 1, 0, 3.70535e-10, 44, 0.5
89, 0, 0, 0, 0, 2.96428e-10, 44, 0.494382
90, 0, 1, 1, 0, 2.37142e-10, 45, 0.5
91, 0, 0, 1, 0, 1.89714e-10, 45, 0.494505
92, 1, 1, 0, 0, 1.51771e-10, 46, 0.5
93, 0, 1, 1, 0, 1.21417e-10, 47, 0.505376
94, 0, 0, 1, 0, 9.71334e-11, 47, 0.5
95, 0, 0, 0, 0, 7.77068e-11, 47, 0.494737
96, 1, 0, 0, 0, 6.21654e-11, 47, 0.489583
97, 0, 1, 0, 0, 4.97323e-11, 48, 0.494845
98, 0, 1, 1, 0, 3.97859e-11, 49, 0.5
99, 1, 1, 0, 0, 3.18287e-11, 50, 0.505051
100, 0, 1, 0, 0, 2.54629e-11, 51, 0.51
101, 0, 1, 1, 0, 2.03704e-11, 52, 0.514851
