# cycle	 average reward
100	 0.41
200	 0.455
300	 0.483333
400	 0.4925
500	 0.498
600	 0.485
700	 0.498571
800	 0.505
900	 0.493333
1000	 0.499
1100	 0.499091
1200	 0.5
1300	 0.503077
1400	 0.512143
1500	 0.507333
1600	 0.504375
1700	 0.504706
1800	 0.503333
1900	 0.505263
2000	 0.5045
2100	 0.502381
2200	 0.503182
2300	 0.502174
2400	 0.502083
2500	 0.4984
2600	 0.497308
2700	 0.495926
2800	 0.493214
2900	 0.494138
3000	 0.494
3100	 0.494516
3200	 0.497188
3300	 0.498788
3400	 0.496765
3500	 0.498857
3600	 0.499167
3700	 0.497297
3800	 0.498158
3900	 0.496923
4000	 0.49725
