cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 0, 0, 0, 0.1, 0, 0
2, 1, 0, 0, 0, 0.08, 0, 0
3, 1, 0, 1, 0, 0.064, 0, 0
4, 0, 0, 1, 0, 0.0512, 0, 0
5, 1, 1, 0, 0, 0.04096, 1, 0.2
6, 0, 1, 0, 0, 0.032768, 2, 0.333333
7, 1, 0, 0, 0, 0.0262144, 2, 0.285714
8, 1, 0, 1, 0, 0.0209715, 2, 0.25
9, 1, 1, 0, 0, 0.0167772, 3, 0.333333
10, 1, 0, 1, 0, 0.0134218, 3, 0.3
11, 0, 0, 1, 0, 0.0107374, 3, 0.272727
12, 1, 1, 1, 0, 0.00858993, 4, 0.333333
13, 1, 1, 0, 0, 0.00687195, 5, 0.384615
14, 1, 0, 0, 0, 0.00549756, 5, 0.357143
15, 1, 0, 1, 0, 0.00439805, 5, 0.333333
16, 1, 1, 1, 0, 0.00351844, 6, 0.375
17, 1, 1, 1, 0, 0.00281475, 7, 0.411765
18, 1, 1, 1, 0, 0.0022518, 8, 0.444444
19, 1, 1, 1, 0, 0.00180144, 9, 0.473684
20, 1, 1, 1, 0, 0.00144115, 10, 0.5
21, 1, 1, 1, 0, 0.00115292, 11, 0.52381
22, 0, 0, 1, 0, 0.000922337, 11, 0.5
23, 1, 1, 1, 0, 0.00073787, 12, 0.521739
24, 0, 0, 0, 0, 0.000590296, 12, 0.5
25, 1, 0, 0, 0, 0.000472237, 12, 0.48
26, 1, 0, 1, 0, 0.000377789, 12, 0.461538
27, 1, 1, 1, 0, 0.000302231, 13, 0.481481
28, 1, 1, 1, 0, 0.000241785, 14, 0.5
29, 1, 1, 1, 0, 0.000193428, 15, 0.517241
30, 1, 1, 0, 0, 0.000154743, 16, 0.533333
31, 0, 1, 0, 0, 0.000123794, 17, 0.548387
32, 1, 0, 1, 0, 9.90352e-05, 17, 0.53125
33, 1, 1, 1, 0, 7.92282e-05, 18, 0.545455
34, 1, 1, 1, 0, 6.33825e-05, 19, 0.558824
35, 0, 0, 1, 0, 5.0706e-05, 19, 0.542857
36, 1, 1, 1, 0, 4.05648e-05, 20, 0.555556
37, 1, 1, 1, 0, 3.24519e-05, 21, 0.567568
38, 1, 1, 0, 0, 2.59615e-05, 22, 0.578947
39, 1, 0, 1, 0, 2.07692e-05, 22, 0.564103
40, 1, 1, 0, 0, 1.66153e-05, 23, 0.575
41, 1, 0, 1, 0, 1.32923e-05, 23, 0.560976
42, 0, 0, 1, 0, 1.06338e-05, 23, 0.547619
43, 1, 1, 1, 0, 8.50706e-06, 24, 0.55814
44, 1, 1, 1, 0, 6.80565e-06, 25, 0.568182
45, 1, 1, 1, 0, 5.44452e-06, 26, 0.577778
46, 1, 1, 0, 0, 4.35561e-06, 27, 0.586957
47, 1, 0, 1, 0, 3.48449e-06, 27, 0.574468
48, 1, 1, 1, 0, 2.78759e-06, 28, 0.583333
49, 1, 1, 1, 0, 2.23007e-06, 29, 0.591837
50, 1, 1, 1, 0, 1.78406e-06, 30, 0.6
51, 1, 1, 1, 0, 1.42725e-06, 31, 0.607843
52, 1, 1, 1, 0, 1.1418e-06, 32, 0.615385
53, 1, 1, 1, 0, 9.13439e-07, 33, 0.622642
54, 1, 1, 1, 0, 7.30751e-07, 34, 0.62963
55, 1, 1, 1, 0, 5.84601e-07, 35, 0.636364
56, 1, 1, 1, 0, 4.67681e-07, 36, 0.642857
57, 0, 0, 1, 0, 3.74144e-07, 36, 0.631579
58, 1, 1, 1, 0, 2.99316e-07, 37, 0.637931
59, 1, 1, 1, 0, 2.39452e-07, 38, 0.644068
60, 1, 1, 1, 0, 1.91562e-07, 39, 0.65
61, 1, 1, 0, 0, 1.5325e-07, 40, 0.655738
62, 1, 0, 1, 0, 1.226e-07, 40, 0.645161
63, 1, 1, 0, 0, 9.80797e-08, 41, 0.650794
64, 1, 0, 1, 0, 7.84638e-08, 41, 0.640625
65, 0, 0, 1, 0, 6.2771e-08, 41, 0.630769
66, 0, 0, 1, 0, 5.02168e-08, 41, 0.621212
67, 1, 1, 1, 0, 4.01735e-08, 42, 0.626866
68, 1, 1, 1, 0, 3.21388e-08, 43, 0.632353
69, 0, 0, 1, 0, 2.5711e-08, 43, 0.623188
70, 1, 1, 1, 0, 2.05688e-08, 44, 0.628571
71, 1, 1, 1, 0, 1.6455e-08, 45, 0.633803
72, 0, 0, 1, 0, 1.3164e-08, 45, 0.625
73, 1, 1, 0, 0, 1.05312e-08, 46, 0.630137
74, 1, 0, 1, 0, 8.42498e-09, 46, 0.621622
75, 0, 0, 1, 0, 6.73999e-09, 46, 0.613333
76, 1, 1, 1, 0, 5.39199e-09, 47, 0.618421
77, 1, 1, 0, 0, 4.31359e-09, 48, 0.623377
78, 1, 0, 1, 0, 3.45087e-09, 48, 0.615385
79, 1, 1, 1, 0, 2.7607e-09, 49, 0.620253
80, 1, 1, 1, 0, 2.20856e-09, 50, 0.625
81, 1, 1, 0, 0, 1.76685e-09, 51, 0.62963
82, 1, 0, 1, 0, 1.41348e-09, 51, 0.621951
83, 1, 1, 1, 0, 1.13078e-09, 52, 0.626506
84, 1, 1, 1, 0, 9.04626e-10, 53, 0.630952
85, 1, 1, 0, 0, 7.23701e-10, 54, 0.635294
86, 1, 0, 1, 0, 5.7896e-10, 54, 0.627907
87, 1, 1, 1, 0, 4.63168e-10, 55, 0.632184
88, 1, 1, 1, 0, 3.70535e-10, 56, 0.636364
89, 0, 0, 1, 0, 2.96428e-10, 56, 0.629213
90, 1, 1, 1, 0, 2.37142e-10, 57, 0.633333
91, 1, 1, 1, 0, 1.89714e-10, 58, 0.637363
92, 1, 1, 1, 0, 1.51771e-10, 59, 0.641304
93, 1, 1, 1, 0, 1.21417e-10, 60, 0.645161
94, 1, 1, 1, 0, 9.71334e-11, 61, 0.648936
95, 0, 0, 1, 0, 7.77068e-11, 61, 0.642105
96, 1, 1, 1, 0, 6.21654e-11, 62, 0.645833
97, 1, 1, 1, 0, 4.97323e-11, 63, 0.649485
98, 1, 1, 0, 0, 3.97859e-11, 64, 0.653061
99, 1, 0, 0, 0, 3.18287e-11, 64, 0.646465
100, 1, 0, 0, 0, 2.54629e-11, 64, 0.64
101, 1, 0, 0, 0, 2.03704e-11, 64, 0.633663
