# cycle	 average reward
100	 57.02
200	 56.785
300	 56.8933
400	 56.525
500	 56.356
600	 56.335
700	 56.3743
800	 56.425
900	 56.4944
1000	 56.459
1100	 56.5973
1200	 56.505
