# cycle	 average reward
100	 0.94
200	 0.96
300	 0.966667
400	 0.9675
500	 0.974
600	 0.978333
700	 0.981429
800	 0.9825
900	 0.984444
1000	 0.985
1100	 0.986364
1200	 0.986667
1300	 0.987692
1400	 0.988571
1500	 0.988
1600	 0.988125
1700	 0.988235
1800	 0.986111
1900	 0.986842
2000	 0.9865
2100	 0.987143
2200	 0.986818
2300	 0.987391
2400	 0.9875
2500	 0.988
2600	 0.988462
2700	 0.988889
2800	 0.988929
2900	 0.98931
3000	 0.989333
3100	 0.989677
3200	 0.99
3300	 0.99
3400	 0.99
3500	 0.990286
3600	 0.990556
3700	 0.990541
3800	 0.990789
3900	 0.990769
4000	 0.991
4100	 0.99122
4200	 0.991429
4300	 0.991628
