# cycle	 average reward
100	 0.5
200	 0.515
300	 0.523333
400	 0.52
500	 0.524
600	 0.533333
700	 0.53
800	 0.53375
900	 0.521111
1000	 0.523
1100	 0.523636
1200	 0.528333
1300	 0.531538
1400	 0.531429
1500	 0.533333
1600	 0.533125
1700	 0.532353
1800	 0.53
1900	 0.532105
2000	 0.5345
2100	 0.530476
2200	 0.530455
2300	 0.526087
2400	 0.524583
2500	 0.5236
2600	 0.520385
2700	 0.516667
2800	 0.512143
2900	 0.511034
3000	 0.508333
3100	 0.509032
3200	 0.506563
3300	 0.506061
3400	 0.508824
3500	 0.508857
3600	 0.510556
3700	 0.512162
3800	 0.514211
3900	 0.513846
4000	 0.5135
4100	 0.511463
4200	 0.512857
